date,repository_id,repository,category,default_branch,commits_total,first_party_commits,automation_commits,other_commits,workflow_runs_total,workflow_runs_success,workflow_runs_failure,workflow_runs_other
2026-09-01,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-01,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-01,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-01,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-01,studio,FAROTECH/orbitfabric-studio,product,main,27,27,0,0,1,1,0,0
2026-09-02,core,FAROTECH/orbitfabric,core,main,5,5,0,0,10,10,0,0
2026-09-02,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-02,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-02,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,1,1,0,0,2,1,0,1
2026-09-02,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-02,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-03,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-09-03,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,72,72,0,0,20,8,2,10
2026-09-03,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,7,7,0,0,14,7,0,7
2026-09-03,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,46,46,0,0,21,16,3,2
2026-09-03,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-03,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-04,core,FAROTECH/orbitfabric,core,main,3,3,0,0,6,6,0,0
2026-09-04,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,21,21,0,0,14,8,0,6
2026-09-04,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-04,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-04,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-04,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-05,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-09-05,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-05,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-05,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-05,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-05,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-06,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-09-06,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-06,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-06,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-06,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,38,38,0,0,0,0,0,0
2026-09-06,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-07,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-09-07,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-07,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-07,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-07,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,22,20,0,2,3,3,0,0
2026-09-07,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-09-08,core,FAROTECH/orbitfabric,core,main,2,2,0,0,4,4,0,0
2026-09-08,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-08,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,1,1,0,0,2,1,1,0
2026-09-08,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,1,1,0,0,2,2,0,0
2026-09-08,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,1,1,0,0,1,1,0,0
2026-09-08,studio,FAROTECH/orbitfabric-studio,product,main,10,10,0,0,7,7,0,0
2026-09-09,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-09-09,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-09,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-09,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-09,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-09,studio,FAROTECH/orbitfabric-studio,product,main,3,3,0,0,3,3,0,0
2026-09-10,core,FAROTECH/orbitfabric,core,main,1,1,0,0,2,2,0,0
2026-09-10,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-10,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-10,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-09-10,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-09-10,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
